Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
6a5e314949c76444d0970eca,Operational Reports(5SP),https://trello.com/c/5ETjA1mE/56-operational-reports5sp,"**User Story**

> As a manager, I want to generate operational reports so that I can support production decisions.

**Story Points:** 5",Could Have (green),,,0,,0,0,0,0,2026-07-28T11:39:51.365Z,6a5b67305c1ad53dd09c9309,Sprint Backlog,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5e2fe0e3897ce44393a06b,Recent Activity(5SP),https://trello.com/c/5b27jYWO/49-recent-activity5sp,"**User Story**

> As a supervisor, I want to view recent container movements so that I can monitor workflow activity.

**Story Points:** 5",Must Have (red),,,0,,0,0,0,0,2026-07-27T18:07:13.424Z,6a5b67305c1ad53dd09c9309,Sprint Backlog,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a675d53d751d183b9d45fd9,Project Planning and Documentation(3SP),https://trello.com/c/MrkSuovW/62-project-planning-and-documentation3sp,"**Story Points:** 3

**Sprint:** 1

GitHub Evidence:

**27 Jun 2026 – Initial project setup with proposal, ERD and documentation**",Must Have (red),,,0,,6,0,0,0,2026-07-27T13:38:35.515Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a675e481a85376423a25950,Establish Project Structure(2SP),https://trello.com/c/ofoes04a/63-establish-project-structure2sp,"**User Story**

> As a developer, I want a well-structured project architecture so that the application can be developed and maintained efficiently.

Story Points: 2

Sprint: 1

### GitHub evidence:

28 Jun 2026 – Correct project structure",Must Have (red),,,0,,5,0,0,0,2026-07-27T13:38:24.324Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5b690e45c6b4748bffaa88,User Authentication (3 SP),https://trello.com/c/gKvIjIZ4/3-user-authentication-3-sp,"As a user, I want to securely log into the system so that I can access features according to my role.

Priority: Must Have
Story Points: 3
Sprint: 1

GitHub Evidence: 29 Jun 2026 – Complete JWT authentication module",Must Have (red),,,0,,5,0,0,0,2026-07-27T13:28:03.952Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5b748e26cfaf1e5f9d44eb,Role-Based Access Control(5 SP),https://trello.com/c/9wccsfSz/21-role-based-access-control5-sp,"User Story:
As a user, I want my permissions to be based on my assigned role so that I can only perform authorised actions.

Priority: Must Have
Story Points: 5
Sprint: 1

GitHub Evidence:
29 Jun 2026 – Complete JWT authentication module",Must Have (red),,,0,,4,0,0,0,2026-07-18T12:43:59.473Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5b753fc66ba54f5eaf951d,Register Container(5SP),https://trello.com/c/w1AlnYXR/22-register-container5sp,"User Story:
As an Operator, I want to register a new container so that it can be tracked throughout its lifecycle.

Priority: Must Have
Story Points: 3
Sprint: 1

GitHub Evidence:
29 Jun 2026 – Implement container management module",Must Have (red),,,0,,5,0,0,0,2026-07-18T12:46:56.248Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5b8197b956bfe2057ae799,Move Containers Through Workflow(SP8),https://trello.com/c/wUMpWN7R/23-move-containers-through-workflowsp8,"User Story:
As an Operator, I want to move containers between workflow stages so that GMP procedures are followed throughout the container lifecycle.

Priority: Must Have
Story Points: 8
Sprint: 2

GitHub Evidence:
30 Jun 2026 – Implement lifecycle workflow, movement tracking and QA approval",Must Have (red),,,0,,5,0,0,0,2026-07-18T13:40:38.608Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5b826ba5d399f980083202,Prevent Invalid Workflow Transitions(5SP),https://trello.com/c/AqoLDGJ3/24-prevent-invalid-workflow-transitions5sp,"User Story:
As the system, I want to prevent invalid workflow transitions so that containers cannot bypass required GMP stages.

Priority: Must Have
Story Points: 5
Sprint: 2

GitHub Evidence:
30 Jun 2026 – Implement lifecycle workflow, movement tracking and QA approval",Must Have (red),,,0,,4,0,0,0,2026-07-18T13:42:56.021Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5b82f468c5c723ec07eb21,QA Approval(5SP),https://trello.com/c/Q81sDttK/25-qa-approval5sp,"User Story:
As a QA user, I want to approve containers before their first use in production so that only compliant containers enter production.

Priority: Must Have
Story Points: 5
Sprint: 2

GitHub Evidence:
30 Jun 2026 – Implement lifecycle workflow, movement tracking and QA approval
1 Jul 2026 – Implement production approval workflow with operator retry",Must Have (red),,,0,,4,0,0,0,2026-07-18T13:44:52.608Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5b8367f82b6b97d8b67879,Supervisor Approval(5SP),https://trello.com/c/WTA6dpTl/26-supervisor-approval5sp,"User Story:
As a Supervisor, I want to approve containers that have completed the required cleaning process so that they can safely begin a new production lifecycle.

Priority: Must Have
Story Points: 5
Sprint: 3

GitHub Evidence:
1 Jul 2026 – Implement supervisor approval workflow for production lifecycle",Must Have (red),,,0,,4,0,0,0,2026-07-20T12:11:22.300Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5e0e8e499799a5c14f0584,Integration Testing(3Sp),https://trello.com/c/0Wceu0pB/38-integration-testing3sp,"User Story:

As a developer, I want to verify the complete container management workflow through integration testing so that the application behaves correctly under realistic scenarios.

‌

Priority: Must Have
Story Points: 3
Sprint: 5",Must Have (red),,,0,,7,0,0,0,2026-07-27T14:31:08.293Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
6a5b85bfea1f6ad1d738c01e,Production Use Tracking(5SP),https://trello.com/c/ysKn9Gyj/28-production-use-tracking5sp,"User Story:
As the system, I want to record each production use so that container usage can be accurately monitored.

Priority: Must Have
Story Points: 5
Sprint: 3",Must Have (red),,,0,,4,0,0,0,2026-07-20T12:11:24.206Z,6a5b67305c1ad53dd09c930a,Done,6a5b67305c1ad53dd09c9237,Container Management System – Scrum Board,FALSE,,FALSE,
